,logFC,logCPM,PValue,FDR,up_down
EMILIN1,-4.07939040317933,5.1909317960197,1.785419309112e-20,1.41811057899953e-18,Down
HJURP,5.98691254476817,4.97893979630636,1.91094596434554e-20,1.51115595338378e-18,Up
ASPM,6.41751390056795,5.95728000876828,2.06999667897463e-20,1.62978341143723e-18,Up
CALHM2,-3.07661640634715,3.84814719839322,2.56045365540421e-20,2.00717301769295e-18,Down
ABCA9,-4.35927488290133,0.389127195066233,2.84008814096667e-20,2.21674412041684e-18,Down
NOVA2,-3.37783853550152,0.704661397074777,3.22727261014309e-20,2.50809160176207e-18,Down
MCM4,3.96819323279943,8.05676298030514,4.06941094279011e-20,3.14899052783286e-18,Up
HRC,-4.1270769679792,-0.876267089872722,4.67839985045365e-20,3.6047670642598e-18,Down
ESPL1,5.54976257808769,5.40875946239333,4.73446272749094e-20,3.63244097773028e-18,Up
JAZF1,-3.18135953166516,3.75341360079273,5.26575383703632e-20,4.02294668143071e-18,Down
NAALAD2,-3.27655605647373,-0.0543733679683973,5.56079872760806e-20,4.23043042442082e-18,Down
ORC1,5.0129071363203,4.66283971319068,5.61632693241043e-20,4.24071258068063e-18,Up
FGF7,-4.96742602167392,2.10618676847733,5.62135500156778e-20,4.24071258068063e-18,Down
ZNF781,-3.8458980890823,-1.1742090556145,5.8692566271273e-20,4.40927904112938e-18,Down
LTBP4,-3.19214953702557,7.02748000217608,7.08231425837285e-20,5.29851145553786e-18,Down
RAB11FIP2,-2.37630189432511,3.54247804098646,7.48436454698395e-20,5.57616085876532e-18,Down
ANTXR2,-3.82953631053832,4.7297684236062,7.93153606746767e-20,5.88500392166429e-18,Down
ECM2,-3.83683044934447,2.13490901277483,8.51104115566198e-20,6.27477900953995e-18,Down
APBB1,-3.81196083980296,3.46564730185538,8.52646066188179e-20,6.27477900953995e-18,Down
MEOX1,-4.33205827214586,1.27316860551393,8.60451897138395e-20,6.30648280707531e-18,Down
NECAB1,-4.71097386504188,0.65236396719344,9.64952632445261e-20,7.04376354776844e-18,Down
CENPF,5.22018637719343,7.16022751124462,9.76305182095115e-20,7.09789614240924e-18,Up
KCNA4,-5.90607339429685,-4.23832291028853,9.90816370984496e-20,7.17446552965882e-18,Down
POLQ,6.29809127072716,4.80211030493583,1.14682020363944e-19,8.27086730864762e-18,Up
ZNF25,-2.32002003325935,2.86196412305971,1.18211292815237e-19,8.49143270700683e-18,Down
CALD1,-3.49003696384803,7.21303040333145,1.26639852869625e-19,9.06077994936245e-18,Down
HTR2B,-4.77430407657527,0.990868823661638,1.48343688933378e-19,1.05716866065961e-17,Down
AVPR1A,-4.08690781827202,1.29971612387446,1.68926161068629e-19,1.19910971813676e-17,Down
ADAM33,-4.3545934302801,2.55735889423191,1.82378062487874e-19,1.28952018300249e-17,Down
TCF21,-5.43190081594137,-0.854537214760897,1.93977779770634e-19,1.36617944111896e-17,Down
CYYR1,-3.5268579365482,2.63335194835929,2.0153304137467e-19,1.41386799065576e-17,Down
C1QTNF9,-5.02973373187887,-3.43311740529935,2.06846384504042e-19,1.4455195010108e-17,Down
CYTL1,-4.79604229008036,0.00982772348678078,2.38076825109893e-19,1.6573456203596e-17,Down
CDC20,5.75641873569683,6.91176099839986,2.80018556751354e-19,1.94182099162574e-17,Up
NUF2,5.83556559569559,5.07958800655317,2.95924140075374e-19,2.03713538679478e-17,Up
NAP1L2,-4.79037635028089,-0.740958211182723,2.96023001297965e-19,2.03713538679478e-17,Down
FXYD6,-4.47256663516982,3.84408914861034,3.07457413215903e-19,2.1077783879402e-17,Down
EDNRB,-4.03068321396049,1.63187724824575,3.12019674592293e-19,2.13095255034055e-17,Down
SPAG5,3.93586610753343,5.99372783290009,3.14817879135184e-19,2.14194957011599e-17,Up
MELK,5.60725711480484,5.62863568009598,3.44882967767607e-19,2.33768417625938e-17,Up
TM4SF18,-3.46450252044968,1.45028129601569,3.79043593000027e-19,2.559608981944e-17,Down
